y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1.0,-5.261,-2.494,6.064,6.02,-1.183,-3.138,-1.346,7.106,2.514,-4.414,-3.815,-0.451,2.643,-2.374,0.517,2.013,0.79,-1.047,2.285,0.942
1.0,-1.06,-2.038,-0.506,0.67,-2.263,-5.651,0.215,-4.943,-6.587,7.602,-0.554,-3.695,2.187,-1.733,-3.853,5.614,1.682,-1.751,5.204,2.178
2.0,0.527,-4.779,5.967,1.928,-3.776,-5.399,4.565,-1.855,-6.597,3.481,1.706,-1.303,-4.509,3.42,-1.5,6.02,-0.598,-0.177,1.994,0.721
1.0,-0.876,-4.182,0.431,-0.266,3.013,2.352,2.277,3.849,2.361,2.311,-6.5,3.291,-3.474,4.513,2.868,0.594,3.192,-6.706,-1.622,0.412
2.0,-4.969,1.629,-0.54,-7.005,-2.774,3.183,2.193,-1.584,-1.642,0.258,2.709,3.357,-2.215,-4.762,-7.544,1.136,-1.647,1.081,-6.438,-2.213
0.0,-0.198,-0.068,-6.466,-1.888,3.114,-2.32,1.413,0.854,2.194,1.279,-1.588,1.616,5.116,1.6,4.333,-1.74,-0.06,1.296,-2.125,-2.128
2.0,-1.779,-6.229,2.36,0.996,-2.296,2.379,-1.011,-1.082,-3.887,-2.747,-0.467,3.802,-0.26,-5.738,2.247,1.298,-1.528,0.818,-0.264,-6.089
1.0,-1.597,-2.025,2.848,3.518,0.69,0.371,-6.349,-1.473,-3.023,-4.904,-2.256,3.145,-2.662,2.803,0.867,-0.791,-1.302,-2.321,-2.466,-1.082
0.0,2.521,-0.061,1.147,-3.788,2.68,-2.574,0.477,9.07,-3.684,2.061,-2.007,0.538,1.95,-1.066,-5.914,5.068,2.843,1.761,-0.933,0.689
2.0,-0.599,-4.538,2.252,-6.322,-1.599,0.409,-1.862,-4.732,-1.47,1.265,4.775,0.541,0.741,0.974,2.299,-2.419,-1.563,-2.527,2.227,3.149
0.0,0.395,-1.625,0.791,-3.261,5.449,-2.121,2.369,2.35,-3.176,-2.97,0.427,-1.732,0.961,-0.357,-5.411,1.574,-3.173,-1.829,0.424,-0.735
1.0,-1.952,4.377,4.096,-2.664,1.874,-2.803,-0.883,-2.26,-6.402,2.086,0.304,1.02,-5.605,4.388,-1.37,4.46,2.303,0.332,-2.621,1.854
2.0,3.097,0.745,2.0,-3.221,-1.567,-3.178,1.358,-2.408,-1.329,1.952,2.187,-1.202,-2.815,2.055,-1.804,0.159,0.205,-0.692,1.472,0.774
1.0,-2.71,2.275,4.983,5.031,-2.594,1.712,0.544,4.94,2.297,0.805,-5.506,-0.573,-1.413,-4.307,-1.142,-1.15,0.601,-1.334,-2.74,-2.641
2.0,0.613,-0.389,0.52,-2.112,-0.276,1.997,-1.754,-2.525,0.317,3.513,-0.794,2.046,-2.498,-3.063,-4.628,-1.012,-3.111,3.326,-3.608,-4.492
2.0,2.337,1.419,0.203,-1.006,0.969,-4.759,0.993,-2.804,-2.536,4.521,0.078,-1.536,-2.311,0.234,-0.27,0.791,-2.576,1.993,4.152,-2.589
2.0,-3.182,0.769,0.477,-7.315,-7.457,1.543,2.577,-1.667,1.86,-2.56,-2.07,0.012,-3.734,0.161,-2.788,-2.076,-0.396,-2.44,-3.615,-1.807
2.0,-0.277,0.266,-1.598,-0.709,-5.567,2.038,-0.64,-1.004,2.031,-0.175,1.699,-4.454,1.699,4.505,4.073,-6.563,-0.838,-3.784,3.983,1.655
1.0,-0.875,3.282,-0.325,1.521,-0.045,-5.363,-2.009,-2.861,-5.241,4.733,-1.419,-2.648,0.115,1.443,-5.442,1.56,4.501,-1.714,2.379,0.879
1.0,-2.026,-1.503,0.252,1.925,0.969,0.383,2.783,-0.585,-0.345,1.754,-6.016,3.271,0.234,2.026,-0.077,0.159,2.769,-3.855,2.515,-1.247
0.0,-1.362,2.802,-0.382,-6.126,-1.208,-2.024,-0.925,-3.884,-1.379,0.311,-4.807,1.863,4.362,-1.761,1.53,-2.531,-2.381,1.474,-1.365,-3.87
2.0,-0.5,-2.327,2.575,1.516,-0.057,2.381,-6.197,0.0,-1.36,-3.281,-5.095,5.281,-0.963,-2.722,-0.314,-0.431,-0.394,1.685,-3.083,2.386
0.0,-5.563,2.248,-2.441,-4.399,6.816,-0.397,-3.981,-4.0,1.984,1.154,-0.821,5.411,-3.969,-0.504,-3.192,-6.381,1.973,3.507,-8.08,0.553
1.0,-6.601,5.045,-0.121,2.414,-3.035,-2.88,1.018,-0.785,2.628,1.998,-2.68,0.465,-0.452,4.589,-1.62,-1.572,-2.333,-2.868,-2.638,1.626
2.0,2.397,-2.355,0.647,0.352,-0.023,-5.467,1.344,-0.174,-0.185,3.379,1.121,-1.674,-1.54,-0.104,-0.59,0.954,-0.705,-4.698,-0.835,4.416
0.0,-0.059,1.065,2.391,-1.76,4.565,-0.661,0.79,2.287,4.263,1.697,1.489,1.913,-1.198,3.091,3.034,-2.512,0.87,0.536,-5.248,0.928
1.0,-3.457,2.708,-0.728,-0.495,-0.852,3.805,1.408,-0.143,2.584,2.555,-1.314,1.427,-1.317,0.561,-4.318,0.911,-0.003,-2.219,-2.696,3.846
2.0,-1.442,-4.049,-0.332,-2.045,-3.024,4.404,0.457,2.692,2.117,-1.148,-0.682,1.458,-0.968,1.835,-6.969,-1.724,-2.239,2.111,-6.09,4.046
1.0,-3.195,2.102,3.959,3.672,-3.326,-1.5,1.639,6.634,8.324,-4.952,-6.019,0.216,0.857,-1.873,-1.005,-0.726,-0.012,2.623,4.97,2.988
1.0,-3.778,-1.181,6.714,3.122,-6.502,-1.515,-1.44,1.044,3.455,-2.545,-0.047,1.309,-2.147,-1.45,-2.459,-1.232,2.218,-1.668,-1.976,-3.897
1.0,-2.855,-0.386,-2.352,3.494,4.116,-5.852,-1.683,2.284,0.62,-3.76,2.384,-2.197,9.553,1.724,5.207,2.119,-4.675,1.804,-1.651,3.022
2.0,-0.671,2.239,0.8,-3.494,-3.822,1.796,-0.142,-0.703,5.652,-4.688,3.682,4.084,-5.871,-0.049,-1.371,-0.781,-2.247,0.581,-1.389,0.602
2.0,3.087,-2.616,-0.169,-1.437,-2.653,1.658,2.254,-2.461,-2.682,2.139,3.075,-5.194,-1.91,2.541,3.797,1.121,-3.155,-3.126,2.502,1.165
1.0,-2.866,5.373,1.665,-4.327,0.155,-0.586,1.205,-1.385,-6.158,0.953,-0.763,-2.769,-3.84,2.338,-3.754,1.96,1.983,-4.122,-2.169,2.491
0.0,3.432,1.091,-4.152,0.075,-1.956,0.911,-8.217,3.222,-2.415,4.142,-5.009,2.457,-1.354,-4.12,-4.151,1.628,1.327,0.321,2.992,4.87
1.0,-1.943,2.137,4.995,2.066,-1.632,-2.627,0.111,5.611,0.147,-4.072,-3.857,-2.516,0.263,-0.39,-0.279,-1.172,3.329,-0.995,0.534,1.475
0.0,-5.396,0.104,-4.284,-5.265,4.209,-2.242,3.65,-0.634,2.617,-5.483,-0.321,6.085,5.946,-1.153,3.721,0.442,-2.058,0.166,-3.621,1.734
1.0,-1.157,3.339,0.227,2.311,5.072,-6.81,-1.424,3.205,2.096,-4.521,0.105,-3.843,6.774,3.23,2.801,2.728,-4.169,4.801,2.997,4.028
0.0,3.557,-3.913,1.94,-0.405,-1.935,-5.193,-1.995,0.513,2.791,0.415,3.516,-2.94,-0.554,2.528,-0.973,3.624,1.725,-2.93,3.306,2.555
1.0,-3.332,-1.003,3.981,4.676,-1.449,-4.342,-3.155,5.594,4.185,-4.566,-1.969,-1.845,3.235,1.565,1.781,1.775,-0.6,1.396,-1.375,-0.115
0.0,-2.273,3.195,0.273,-1.621,-2.505,-5.457,0.151,3.699,-0.417,0.064,-0.099,-2.158,-1.161,-4.139,-0.743,4.384,-1.408,-3.768,1.46,3.221
0.0,1.081,3.271,-5.161,-1.787,-0.129,-2.2,-1.137,6.974,0.88,-1.179,2.313,-1.986,-0.366,-1.905,-3.621,3.954,0.85,0.369,-3.089,3.908
2.0,-1.577,-3.384,-0.42,-1.957,-3.964,0.986,-3.749,-4.874,0.073,-4.721,1.44,-0.354,-0.551,1.158,3.907,-3.263,-1.135,-0.715,0.823,2.27
1.0,-3.394,-0.955,1.002,5.201,0.91,-4.763,-0.442,-2.101,-1.701,2.344,-3.385,0.737,-2.958,4.709,0.916,0.457,1.662,1.485,0.745,-2.145
2.0,1.782,-3.702,3.117,-4.597,-0.544,-3.99,-2.159,0.981,-1.558,4.263,6.902,-1.495,-2.357,5.406,0.702,2.55,0.563,-0.75,4.146,4.132
1.0,-2.339,3.001,3.269,1.332,-4.34,-1.574,-1.559,0.56,-6.022,-6.08,-0.632,2.011,1.645,1.693,-1.797,1.483,-0.294,2.172,4.301,2.964
2.0,1.499,-4.341,1.228,-2.309,0.06,-0.027,-4.41,-5.105,-2.238,1.672,-0.125,0.776,1.689,-2.468,4.251,-1.688,-3.111,-3.546,2.951,3.797
1.0,-3.778,1.332,-0.038,3.054,5.081,-2.35,-6.682,-0.523,-3.445,0.595,0.037,-3.681,-3.986,4.843,3.419,0.269,0.762,1.52,0.065,1.778
0.0,-1.343,4.387,0.407,-3.271,2.524,-1.061,0.201,-4.514,2.541,3.075,-6.587,0.823,-1.57,1.307,-0.225,-3.243,0.051,5.473,-1.975,-5.279
1.0,1.115,2.102,2.721,2.518,1.795,-2.144,-3.705,-1.327,-4.4,2.916,-0.381,-0.859,-3.008,4.302,0.973,2.8,4.886,-0.004,0.654,2.807
1.0,-0.309,2.339,4.424,3.4,0.993,-0.795,-1.58,-3.028,1.846,-2.418,-1.618,-2.282,-5.414,3.787,1.262,0.785,4.289,0.006,1.393,0.939
0.0,-2.58,5.848,-1.971,-2.121,3.848,-1.82,0.284,-4.067,4.829,4.179,-2.339,0.306,-1.32,-0.305,-1.464,-5.909,0.498,3.495,-2.266,-1.432
1.0,1.376,-4.036,-2.548,-0.815,-0.607,-0.856,6.395,-2.676,1.944,-1.353,-2.02,1.689,1.273,0.037,-1.746,2.581,1.362,-1.117,-4.017,4.379
0.0,3.395,-1.493,-2.343,1.207,0.234,-3.848,-6.514,-1.781,4.611,6.8,0.148,-3.246,-3.084,5.152,2.401,-1.813,3.205,2.707,-0.658,-5.229
1.0,-5.952,-0.13,-0.5,1.663,-4.282,-3.416,-0.548,-0.712,-3.687,4.195,-2.6,1.853,-0.428,1.206,-1.56,2.009,-0.715,-3.5,-0.844,-3.357
2.0,-2.922,1.245,-0.257,0.696,0.346,1.649,-0.862,-2.103,6.613,0.356,-4.37,-4.442,-2.953,-1.015,-0.825,-4.943,2.156,-3.443,0.272,-4.665
2.0,2.453,1.417,1.896,-1.322,-2.036,-4.073,0.477,1.48,-0.143,2.514,1.32,-1.055,1.253,2.966,-0.748,-0.668,0.114,-2.49,-1.004,3.086
1.0,-2.37,0.234,0.116,0.16,-0.335,-3.171,-1.825,-5.537,-1.629,3.352,2.682,-2.216,-0.254,-0.109,-0.438,1.258,-0.168,-0.551,2.429,1.511
1.0,-0.071,5.601,-1.766,-2.231,2.86,-3.929,-2.593,-0.385,-0.771,-2.542,-0.174,-2.348,4.929,2.179,-1.949,2.494,-6.066,4.252,3.927,3.243
2.0,-5.639,-4.417,4.036,-2.659,-0.381,1.047,-3.957,2.818,-2.536,-0.21,-1.719,0.568,1.994,-2.304,-5.391,-3.879,-3.089,-1.28,-3.319,-3.108
0.0,2.436,0.579,-6.107,-1.286,5.791,1.44,-1.219,0.342,2.827,-3.88,4.907,-4.844,-2.953,-4.268,-1.399,0.377,-0.572,1.176,-2.693,0.356
0.0,4.245,-2.072,-3.898,-0.59,3.219,-0.624,3.114,3.049,-3.039,1.167,-0.995,1.881,-1.079,-6.104,-4.621,3.085,1.486,-0.064,0.794,-0.435
2.0,0.976,-2.971,0.289,-0.389,-0.306,0.042,-0.853,-2.512,0.772,-1.358,-7.556,1.755,-0.557,-0.585,-0.535,-2.403,0.14,-7.042,0.169,-2.744
0.0,-0.865,-1.173,0.225,-5.98,-1.881,-7.498,-0.539,0.141,3.794,-0.873,0.141,-1.145,1.325,1.361,2.292,-2.982,0.259,2.041,-1.227,4.345
0.0,5.734,-0.479,-4.291,3.557,2.473,-5.188,2.561,0.759,-0.529,-0.922,4.886,-4.312,-2.78,-4.878,1.115,-2.895,-4.442,-5.286,0.378,0.281
1.0,-0.238,2.223,1.471,4.06,1.954,0.261,-2.852,-0.43,4.061,1.079,-0.66,-2.397,-1.863,3.085,1.23,2.145,1.708,1.557,-0.2,2.958
1.0,-0.362,3.457,0.287,1.828,-1.403,-2.753,-0.644,1.908,-1.298,-3.858,0.151,-0.065,5.004,2.685,3.568,4.598,-2.268,4.28,5.129,4.711
2.0,-2.408,-1.722,4.045,1.851,0.814,3.968,1.413,2.409,4.575,-4.052,-0.566,3.713,-1.499,-2.139,0.099,0.48,-2.694,-0.48,-5.392,-2.68
2.0,-2.507,-0.828,0.254,-3.289,0.889,3.213,-0.566,-1.863,1.186,-3.25,-1.186,3.652,-1.171,-3.694,-2.014,1.682,-0.047,-1.72,-3.442,0.389
0.0,1.911,0.051,-1.52,-2.349,2.603,-2.982,-5.21,0.356,-2.019,8.889,0.351,2.834,0.141,-4.585,1.791,1.354,2.661,-2.022,3.092,1.343
1.0,-1.375,3.32,1.25,4.623,4.005,1.701,-1.4,1.375,0.048,2.335,-3.442,0.034,-3.743,3.191,-1.201,1.761,3.613,3.259,-0.755,1.75
0.0,0.181,0.59,-1.604,-3.036,3.137,-0.689,-0.361,-1.673,1.267,1.113,0.394,-1.935,-1.495,-3.942,-1.068,3.475,0.812,-2.06,0.071,0.53
0.0,0.86,1.438,1.292,-0.551,0.087,1.865,-3.929,-0.081,3.676,7.366,-2.102,-1.215,2.65,-1.23,2.836,-5.394,-1.733,6.365,0.077,-3.457
2.0,-4.24,-5.805,4.074,-3.822,-4.046,-0.863,1.276,-2.736,-2.577,2.274,-0.453,4.424,0.315,0.404,2.037,3.221,0.211,-4.787,2.315,3.339
2.0,1.278,-2.792,-1.21,-0.504,-2.675,-2.51,-5.471,-3.841,-4.945,2.21,-5.988,4.48,-2.113,1.24,-0.99,-7.317,-2.296,-1.306,-2.282,-1.203
0.0,0.232,-2.302,-4.505,-0.382,-0.853,-1.98,-2.518,-1.977,-4.359,4.182,-2.265,0.025,5.334,-0.457,3.417,1.683,3.21,2.53,-1.444,-1.761
2.0,-0.611,4.193,-0.269,-3.194,-1.658,0.171,4.203,-0.34,1.623,6.289,-3.702,-0.401,-0.35,7.704,2.091,3.352,0.395,1.043,-3.377,4.117
2.0,-1.59,1.217,-0.709,-0.938,-0.55,0.578,1.498,-1.833,3.668,-2.651,-5.277,-1.072,0.242,-3.412,-1.819,-0.876,0.357,-6.255,0.212,-8.275
2.0,-2.801,1.715,3.783,-7.346,-6.062,5.804,1.666,-0.135,-0.846,-1.641,1.983,2.529,2.862,2.265,3.69,-0.294,2.666,0.257,4.644,2.372
0.0,1.795,-7.424,-1.311,2.272,-1.523,-0.297,-5.72,2.405,0.791,2.25,2.895,-0.172,2.705,2.802,4.946,3.098,-1.28,1.782,-0.378,0.993
0.0,3.954,-2.227,-0.616,1.124,0.461,-4.148,-0.246,-0.17,-3.941,5.775,-0.045,0.97,-2.366,-2.431,2.596,-0.091,0.059,-0.687,1.34,-1.172
2.0,0.487,-0.064,1.444,-5.441,-0.693,-0.023,4.602,1.45,3.155,0.365,5.533,0.296,-4.54,3.457,-2.499,3.705,-0.065,-2.227,-0.703,1.231
0.0,-2.663,1.441,-2.342,-3.794,0.256,-3.4,-3.226,-0.139,-1.386,-1.024,-0.776,1.982,4.099,1.324,2.596,0.058,-0.779,-0.594,-3.063,-0.237
1.0,0.585,4.386,1.846,-1.418,-3.028,3.187,-0.361,2.075,4.401,0.015,-4.81,-1.422,-1.259,-1.28,-3.462,1.161,-0.631,3.068,7.713,1.724
1.0,-6.466,-0.069,-0.185,2.295,-1.514,-1.657,-1.472,-2.327,-2.318,0.671,-0.236,1.43,0.792,-0.046,1.475,1.858,-1.344,1.149,-2.82,-3.198
2.0,-2.496,0.163,0.95,-5.22,-3.497,-1.837,-3.842,-5.916,3.235,-1.013,-3.883,-1.743,-4.436,1.756,2.448,-6.372,-0.011,-4.824,1.928,-2.376
1.0,-4.115,-1.747,1.693,1.344,3.844,-3.28,-1.46,-3.215,-0.153,6.089,0.195,-1.521,1.615,-0.924,-4.007,0.986,-0.652,-2.378,6.235,2.898
0.0,0.264,-1.169,-4.509,-0.182,-1.02,1.976,-1.012,0.682,-1.556,-1.875,1.414,0.52,-2.306,-3.444,-3.27,5.309,0.456,0.348,2.936,2.022
2.0,2.337,-2.677,2.788,-2.581,-0.181,-4.939,2.963,2.032,-2.442,3.185,5.809,-1.509,-3.973,0.984,0.769,7.175,0.047,-1.237,3.261,3.219
0.0,2.574,-1.937,-0.312,0.111,1.953,-0.694,3.668,2.024,-0.465,2.568,2.416,-0.817,0.114,-1.378,0.448,0.001,2.642,-1.402,-0.411,3.719
2.0,0.446,-2.204,4.106,-1.25,-0.779,-0.318,-2.672,2.126,2.007,-3.988,2.645,5.644,-3.697,-5.241,-1.762,0.763,-2.298,-1.31,2.791,-5.88
0.0,-2.256,3.68,-10.438,-0.778,9.023,-3.625,4.265,-1.627,6.769,-2.169,0.609,6.194,6.824,1.644,4.431,-1.476,-0.22,-3.29,-3.643,-0.957
2.0,3.5,-3.007,3.11,2.242,-1.929,-1.015,4.393,4.913,-1.751,-1.287,3.848,-2.871,-1.712,-1.43,-0.994,3.083,0.87,-4.805,2.084,3.807
1.0,-3.449,3.017,1.733,0.552,3.142,1.928,-0.359,-1.063,-2.017,0.406,-3.473,-1.504,-3.929,0.431,2.242,6.078,-2.135,-1.676,3.7,0.302
0.0,-2.483,2.534,-0.527,1.043,-1.076,-2.909,-5.111,-1.743,-1.173,0.616,-0.099,-1.339,0.222,4.503,-0.579,2.466,-5.852,0.723,1.813,0.289
2.0,1.21,-1.376,0.598,-1.722,0.463,2.149,-3.996,-4.477,0.286,1.571,-6.002,2.906,0.87,1.791,-6.56,-3.26,-0.833,-3.573,-4.49,4.034
2.0,-3.154,-0.495,0.052,-2.872,0.836,0.287,-2.753,1.066,-1.504,0.281,-1.081,2.368,-0.205,-3.241,-4.185,-4.1,-5.688,-1.847,-0.722,-3.964
0.0,-1.218,-0.335,-1.551,-3.139,-0.666,-0.004,1.427,-4.296,0.785,1.95,-1.332,-1.184,2.89,-1.977,1.048,-3.762,-1.631,5.009,-2.128,5.7
1.0,-0.609,-1.054,-1.642,1.709,-0.286,2.677,-4.032,3.973,2.859,-4.025,-4.342,-0.933,-3.176,4.301,2.094,2.488,1.189,-0.04,-6.774,5.002
0.0,3.23,3.37,2.219,-0.378,-1.754,-1.639,-2.012,3.96,2.711,3.244,0.37,-3.617,-1.569,-6.02,-1.861,5.898,0.663,-5.985,2.495,1.686
0.0,4.902,-1.317,-0.766,1.481,-1.64,-2.69,-2.423,3.103,-0.336,2.452,2.66,-3.743,-4.683,-1.856,0.492,1.95,3.08,-2.229,1.267,2.131
2.0,-1.819,-0.639,-0.794,-1.847,2.262,3.4,-0.518,-0.344,2.673,3.848,-1.894,-2.177,-4.309,-0.799,-5.298,-7.331,-4.402,2.428,-5.073,-0.111
0.0,-2.983,2.337,-3.106,-3.292,7.462,2.966,-2.952,1.64,3.175,-0.936,-5.363,6.443,-2.884,-0.015,-1.364,1.286,-6.366,1.269,-5.336,-2.473
2.0,-0.129,-1.684,0.996,-1.734,-0.728,-0.438,-0.026,-1.093,-2.048,1.0,-0.727,-0.918,1.792,0.392,5.539,0.376,-1.931,-1.373,1.172,0.21
1.0,-3.268,5.074,-1.036,2.152,-2.329,1.053,0.305,1.585,0.541,0.43,-0.39,-1.578,3.728,4.809,-0.859,3.769,-5.098,-1.388,0.068,7.702
